timestamp,voltage_v,current_a,power_kw,frequency_hz,transformer_temp_c,latitude,longitude
2026-05-09T08:00:00+00:00,229.39,41.97,11.65,50.02,45.84,50.451381,30.525068
2026-05-09T08:10:00+00:00,229.29,42.36,7.95,50.04,48.89,50.451231,30.525174
2026-05-09T08:20:00+00:00,232.82,44.34,10.68,50.0,49.87,50.450885,30.524912
2026-05-09T08:30:00+00:00,233.08,41.63,10.02,50.01,48.89,50.450978,30.524856
2026-05-09T08:40:00+00:00,231.51,45.84,10.0,49.96,47.73,50.450586,30.524914
2026-05-09T08:00:00+00:00,226.69,42.17,12.23,50.03,46.16,50.45134,30.525095
2026-05-09T08:10:00+00:00,228.89,44.29,10.85,50.0,47.87,50.451272,30.5249
2026-05-09T08:20:00+00:00,228.68,44.68,11.94,49.92,46.89,50.451194,30.524988
2026-05-09T08:30:00+00:00,231.5,40.72,12.1,50.08,48.78,50.450857,30.524985
2026-05-09T08:40:00+00:00,229.39,44.46,9.39,49.92,50.04,50.450853,30.524825
2026-05-09T08:00:00+00:00,230.76,42.31,10.22,49.98,48.94,50.451198,30.525138
2026-05-09T08:10:00+00:00,226.95,42.49,9.02,50.0,47.97,50.451033,30.52496
2026-05-09T08:20:00+00:00,228.94,43.4,12.44,49.9,49.04,50.451095,30.525101
2026-05-09T08:30:00+00:00,229.57,42.76,11.08,50.09,48.5,50.450739,30.524691
2026-05-09T08:40:00+00:00,227.63,45.89,8.84,50.05,50.53,50.450886,30.524884
2026-05-09T08:00:00+00:00,233.56,41.73,12.11,49.94,45.63,50.451476,30.524946
2026-05-09T08:10:00+00:00,229.04,42.65,11.84,50.05,47.0,50.451008,30.525086
2026-05-09T08:20:00+00:00,227.48,43.86,11.28,49.97,49.67,50.451134,30.525003
2026-05-09T08:30:00+00:00,230.42,42.11,8.07,50.06,46.88,50.45102,30.524669
2026-05-09T08:40:00+00:00,232.63,45.47,11.9,49.99,50.42,50.450778,30.52494
2026-05-09T08:00:00+00:00,227.01,42.22,8.06,49.93,46.86,50.451457,30.524932
2026-05-09T08:10:00+00:00,232.28,43.82,12.09,50.01,46.89,50.451314,30.525035
2026-05-09T08:20:00+00:00,226.59,43.58,11.71,49.95,49.51,50.45084,30.524912
2026-05-09T08:30:00+00:00,231.61,41.12,10.6,50.07,45.57,50.45073,30.524908
2026-05-09T08:40:00+00:00,230.97,45.93,12.28,50.0,47.26,50.450819,30.524681
2026-05-09T08:00:00+00:00,229.67,42.35,10.96,49.94,48.61,50.451423,30.525115
2026-05-09T08:10:00+00:00,233.98,42.11,11.2,50.01,48.83,50.451091,30.524824
2026-05-09T08:20:00+00:00,225.87,43.26,8.5,49.98,49.55,50.450928,30.524861
2026-05-09T08:30:00+00:00,234.08,41.98,9.45,50.02,45.64,50.451027,30.524836
2026-05-09T08:40:00+00:00,229.68,45.08,10.51,50.05,51.06,50.450856,30.52465
2026-05-09T08:00:00+00:00,229.43,42.95,11.92,50.03,47.7,50.451383,30.525181
2026-05-09T08:10:00+00:00,230.72,42.95,10.59,50.07,48.74,50.451141,30.524929
2026-05-09T08:20:00+00:00,230.26,44.86,9.55,50.0,47.65,50.450959,30.524893
2026-05-09T08:30:00+00:00,230.64,40.72,8.44,49.97,46.05,50.450929,30.524839
2026-05-09T08:40:00+00:00,232.18,46.35,9.52,50.0,48.63,50.450744,30.524669
2026-05-09T08:00:00+00:00,228.56,42.62,10.02,49.97,46.49,50.451159,30.525115
2026-05-09T08:10:00+00:00,227.2,43.93,8.1,50.08,45.86,50.451366,30.524953
2026-05-09T08:20:00+00:00,225.19,42.96,11.06,50.04,50.49,50.451124,30.525109
2026-05-09T08:30:00+00:00,234.07,42.09,8.3,50.1,45.47,50.450748,30.524672
2026-05-09T08:40:00+00:00,226.35,44.92,10.09,49.96,49.9,50.45094,30.524901
2026-05-09T08:00:00+00:00,232.51,42.81,11.82,50.0,46.44,50.451388,30.525164
2026-05-09T08:10:00+00:00,232.37,42.71,8.18,50.08,46.36,50.451173,30.525143
2026-05-09T08:20:00+00:00,229.86,45.06,9.54,49.99,49.09,50.45109,30.524949
2026-05-09T08:30:00+00:00,232.91,42.72,10.37,50.08,47.36,50.450896,30.524875
2026-05-09T08:40:00+00:00,227.2,45.53,13.16,49.92,48.43,50.45087,30.524597
2026-05-09T08:00:00+00:00,225.92,43.2,8.49,49.95,45.9,50.451364,30.52491
2026-05-09T08:10:00+00:00,230.23,42.86,11.03,50.01,49.44,50.451366,30.524844
2026-05-09T08:20:00+00:00,229.31,44.88,10.05,50.03,48.16,50.451082,30.525111
2026-05-09T08:30:00+00:00,231.59,41.39,7.71,50.01,47.56,50.450903,30.524875
