timestamp,total_slots,occupied_slots,free_slots,occupancy_rate,barrier_state,queue_length,area,latitude,longitude
2026-05-09T08:00:00+00:00,120,79,41,0.658,open,2,Zone A,50.45033,30.52372
2026-05-09T08:15:00+00:00,120,82,38,0.683,closed,1,Zone A,50.450426,30.523676
2026-05-09T08:30:00+00:00,90,65,25,0.722,closed,4,Zone B,50.451172,30.524367
2026-05-09T08:45:00+00:00,90,70,20,0.778,closed,6,Zone B,50.450907,30.524003
2026-05-09T09:00:00+00:00,140,99,41,0.707,open,2,Zone C,50.449877,30.523062
2026-05-09T08:00:00+00:00,120,74,46,0.617,open,8,Zone A,50.450609,30.523898
2026-05-09T08:15:00+00:00,120,81,39,0.675,closed,1,Zone A,50.450542,30.523622
2026-05-09T08:30:00+00:00,90,58,32,0.644,open,3,Zone B,50.45092,30.524155
2026-05-09T08:45:00+00:00,90,67,23,0.744,open,1,Zone B,50.450984,30.524177
2026-05-09T09:00:00+00:00,140,105,35,0.75,closed,7,Zone C,50.450019,30.522827
2026-05-09T08:00:00+00:00,120,74,46,0.617,closed,8,Zone A,50.450445,30.52363
2026-05-09T08:15:00+00:00,120,81,39,0.675,closed,2,Zone A,50.450601,30.523685
2026-05-09T08:30:00+00:00,90,59,31,0.656,open,8,Zone B,50.451224,30.524343
2026-05-09T08:45:00+00:00,90,71,19,0.789,open,4,Zone B,50.450833,30.524123
2026-05-09T09:00:00+00:00,140,100,40,0.714,closed,2,Zone C,50.44978,30.522801
2026-05-09T08:00:00+00:00,120,76,44,0.633,closed,3,Zone A,50.450647,30.523794
2026-05-09T08:15:00+00:00,120,82,38,0.683,open,6,Zone A,50.450606,30.523715
2026-05-09T08:30:00+00:00,90,59,31,0.656,closed,8,Zone B,50.450993,30.524181
2026-05-09T08:45:00+00:00,90,72,18,0.8,closed,8,Zone B,50.451109,30.524254
2026-05-09T09:00:00+00:00,140,100,40,0.714,open,6,Zone C,50.449942,30.522762
2026-05-09T08:00:00+00:00,120,78,42,0.65,closed,7,Zone A,50.450679,30.523907
2026-05-09T08:15:00+00:00,120,82,38,0.683,closed,6,Zone A,50.450501,30.523615
2026-05-09T08:30:00+00:00,90,61,29,0.678,closed,2,Zone B,50.450986,30.524288
2026-05-09T08:45:00+00:00,90,71,19,0.789,open,8,Zone B,50.450916,30.524023
2026-05-09T09:00:00+00:00,140,103,37,0.736,open,4,Zone C,50.449979,30.522806
2026-05-09T08:00:00+00:00,120,78,42,0.65,closed,0,Zone A,50.450585,30.523638
2026-05-09T08:15:00+00:00,120,86,34,0.717,open,7,Zone A,50.45035,30.523943
2026-05-09T08:30:00+00:00,90,63,27,0.7,open,1,Zone B,50.451088,30.524216
2026-05-09T08:45:00+00:00,90,65,25,0.722,closed,1,Zone B,50.450902,30.524184
2026-05-09T09:00:00+00:00,140,98,42,0.7,open,6,Zone C,50.450056,30.522951
2026-05-09T08:00:00+00:00,120,76,44,0.633,open,3,Zone A,50.450568,30.523854
2026-05-09T08:15:00+00:00,120,84,36,0.7,open,2,Zone A,50.450688,30.52376
2026-05-09T08:30:00+00:00,90,62,28,0.689,open,4,Zone B,50.45084,30.524112
2026-05-09T08:45:00+00:00,90,72,18,0.8,closed,1,Zone B,50.45114,30.52421
2026-05-09T09:00:00+00:00,140,105,35,0.75,open,2,Zone C,50.449874,30.522772
2026-05-09T08:00:00+00:00,120,81,39,0.675,open,4,Zone A,50.450523,30.523962
2026-05-09T08:15:00+00:00,120,81,39,0.675,open,6,Zone A,50.450594,30.523819
2026-05-09T08:30:00+00:00,90,58,32,0.644,open,7,Zone B,50.451178,30.524408
2026-05-09T08:45:00+00:00,90,70,20,0.778,open,7,Zone B,50.450989,30.524029
2026-05-09T09:00:00+00:00,140,102,38,0.729,open,7,Zone C,50.449782,30.522862
2026-05-09T08:00:00+00:00,120,74,46,0.617,open,0,Zone A,50.450652,30.523768
2026-05-09T08:15:00+00:00,120,83,37,0.692,open,4,Zone A,50.450547,30.523883
2026-05-09T08:30:00+00:00,90,65,25,0.722,closed,8,Zone B,50.451174,30.52431
2026-05-09T08:45:00+00:00,90,69,21,0.767,closed,1,Zone B,50.451001,30.52427
2026-05-09T09:00:00+00:00,140,106,34,0.757,open,7,Zone C,50.449792,30.523036
2026-05-09T08:00:00+00:00,120,82,38,0.683,open,3,Zone A,50.450635,30.523692
2026-05-09T08:15:00+00:00,120,79,41,0.658,open,7,Zone A,50.450612,30.5238
2026-05-09T08:30:00+00:00,90,58,32,0.644,open,2,Zone B,50.450862,30.524263
2026-05-09T08:45:00+00:00,90,71,19,0.789,closed,6,Zone B,50.450974,30.524282
2026-05-09T09:00:00+00:00,140,104,36,0.743,closed,4,Zone C,50.450027,30.523048
2026-05-09T08:00:00+00:00,120,79,41,0.658,closed,4,Zone A,50.450597,30.523622
2026-05-09T08:15:00+00:00,120,79,41,0.658,open,4,Zone A,50.450378,30.523837
2026-05-09T08:30:00+00:00,90,58,32,0.644,open,7,Zone B,50.450932,30.524151
2026-05-09T08:45:00+00:00,90,67,23,0.744,closed,5,Zone B,50.451201,30.524059
2026-05-09T09:00:00+00:00,140,99,41,0.707,open,2,Zone C,50.449721,30.522862
2026-05-09T08:00:00+00:00,120,80,40,0.667,open,4,Zone A,50.450557,30.523751
2026-05-09T08:15:00+00:00,120,80,40,0.667,closed,1,Zone A,50.45034,30.523631
2026-05-09T08:30:00+00:00,90,59,31,0.656,open,5,Zone B,50.451171,30.524406
2026-05-09T08:45:00+00:00,90,69,21,0.767,closed,4,Zone B,50.450984,30.524135
2026-05-09T09:00:00+00:00,140,99,41,0.707,open,7,Zone C,50.449957,30.52301
2026-05-09T08:00:00+00:00,120,78,42,0.65,open,2,Zone A,50.450487,30.523675
2026-05-09T08:15:00+00:00,120,79,41,0.658,open,6,Zone A,50.450336,30.523791
2026-05-09T08:30:00+00:00,90,58,32,0.644,closed,1,Zone B,50.451206,30.524264
2026-05-09T08:45:00+00:00,90,69,21,0.767,open,8,Zone B,50.450849,30.52438
2026-05-09T09:00:00+00:00,140,102,38,0.729,closed,7,Zone C,50.450005,30.52283
2026-05-09T08:00:00+00:00,120,74,46,0.617,closed,6,Zone A,50.450582,30.523719
2026-05-09T08:15:00+00:00,120,81,39,0.675,open,7,Zone A,50.450493,30.523877
2026-05-09T08:30:00+00:00,90,58,32,0.644,closed,6,Zone B,50.450924,30.524278
2026-05-09T08:45:00+00:00,90,66,24,0.733,closed,7,Zone B,50.450994,30.524389
2026-05-09T09:00:00+00:00,140,104,36,0.743,open,2,Zone C,50.449884,30.522809
2026-05-09T08:00:00+00:00,120,78,42,0.65,open,2,Zone A,50.450592,30.523748
2026-05-09T08:15:00+00:00,120,80,40,0.667,open,2,Zone A,50.450571,30.523827
2026-05-09T08:30:00+00:00,90,59,31,0.656,closed,4,Zone B,50.450928,30.524343
2026-05-09T08:45:00+00:00,90,66,24,0.733,closed,6,Zone B,50.450854,30.524106
2026-05-09T09:00:00+00:00,140,100,40,0.714,closed,4,Zone C,50.449919,30.523097
2026-05-09T08:00:00+00:00,120,75,45,0.625,closed,8,Zone A,50.450359,30.523759
2026-05-09T08:15:00+00:00,120,84,36,0.7,closed,4,Zone A,50.450518,30.523794
2026-05-09T08:30:00+00:00,90,62,28,0.689,open,3,Zone B,50.451078,30.524356
2026-05-09T08:45:00+00:00,90,67,23,0.744,closed,8,Zone B,50.451198,30.524174
2026-05-09T09:00:00+00:00,140,105,35,0.75,closed,6,Zone C,50.449969,30.522875
2026-05-09T08:00:00+00:00,120,74,46,0.617,open,0,Zone A,50.450682,30.5237
2026-05-09T08:15:00+00:00,120,84,36,0.7,open,2,Zone A,50.450529,30.523879
2026-05-09T08:30:00+00:00,90,61,29,0.678,closed,4,Zone B,50.451205,30.52436
2026-05-09T08:45:00+00:00,90,72,18,0.8,open,4,Zone B,50.451006,30.524364
2026-05-09T09:00:00+00:00,140,105,35,0.75,open,2,Zone C,50.449798,30.523006
2026-05-09T08:00:00+00:00,120,74,46,0.617,open,2,Zone A,50.450539,30.523812
2026-05-09T08:15:00+00:00,120,81,39,0.675,open,8,Zone A,50.450344,30.523759
2026-05-09T08:30:00+00:00,90,64,26,0.711,open,2,Zone B,50.450883,30.524364
2026-05-09T08:45:00+00:00,90,69,21,0.767,open,3,Zone B,50.451061,30.524364
2026-05-09T09:00:00+00:00,140,104,36,0.743,open,8,Zone C,50.450007,30.522855
2026-05-09T08:00:00+00:00,120,78,42,0.65,open,7,Zone A,50.450416,30.5237
2026-05-09T08:15:00+00:00,120,85,35,0.708,open,7,Zone A,50.45055,30.523859
2026-05-09T08:30:00+00:00,90,60,30,0.667,closed,7,Zone B,50.450935,30.524225
2026-05-09T08:45:00+00:00,90,66,24,0.733,closed,4,Zone B,50.451035,30.524367
2026-05-09T09:00:00+00:00,140,104,36,0.743,open,1,Zone C,50.449845,30.523097
2026-05-09T08:00:00+00:00,120,77,43,0.642,open,8,Zone A,50.450696,30.523682
2026-05-09T08:15:00+00:00,120,82,38,0.683,open,1,Zone A,50.450505,30.523845
2026-05-09T08:30:00+00:00,90,58,32,0.644,open,2,Zone B,50.45117,30.524026
2026-05-09T08:45:00+00:00,90,66,24,0.733,closed,5,Zone B,50.450845,30.524232
2026-05-09T09:00:00+00:00,140,101,39,0.721,closed,7,Zone C,50.449824,30.522797
